question,answer
Capital of France?,Paris
5 + 7 = ?,12
Python keyword to define a function?,def
Largest planet in our solar system?,Jupiter
Square root of 64?,8
Chemical symbol for water?,H2O
Fastest land animal?,Cheetah
Author of "1984"?,George Orwell
Currency of Japan?,Yen
Number of continents?,7
Primary colors?,Red, Blue, Yellow
Opposite of 'Hot'?,Cold
Python keyword to create a loop?,for
Binary of decimal 5?,101
HTML tag for paragraph?,p
H2O is a molecule of which elements?,Hydrogen and Oxygen
Current US President?,Joe Biden
Capital of India?,New Delhi
Python keyword to handle exceptions?,try
Largest ocean?,Pacific
10 * 6 = ?,60
Python keyword to import a module?,import
Distance light travels in one year?,Light-year
Atomic number of Carbon?,6
Fastest bird?,Peregrine Falcon
5 factorial (5!)?,120
First man on the moon?,Neil Armstrong
Longest river?,Nile
Python data type for true/false?,bool
Python keyword to define a class?,class
100 / 4 = ?,25
Smallest prime number?,2
Number of states in USA?,50
Python keyword to define a lambda function?,lambda
Square of 15?,225
Number of planets in solar system?,8
Chemical symbol for Gold?,Au
Capital of Australia?,Canberra
Python keyword for conditional branching?,if
Python function to get length?,len
Sum of angles in a triangle?,180
Currency of UK?,Pound
Python function to convert string to integer?,int
Python function to print output?,print
First element of periodic table?,Hydrogen
7 * 8 = ?,56
Python keyword for else if?,elif
Python keyword to define a constant?,None
Capital of Canada?,Ottawa
Largest desert?,Sahara
Python keyword to check membership?,in
Python function to get type?,type
Python function to round numbers?,round
Python operator for exponentiation?,**
